Description,Price,Rating,ReviewCount,URL
"Inditrust 16 Ton Hydraulic Crimping Tool 11 dies 16-300 mm2 for Copper, Aluminum Terminal Pliers YQK-300 manual crimper","₹3,999",3.8 out of 5 stars,45,https://www.amazon.in//Inditrust-Hydraulic-Crimping-Aluminum-Terminal/dp/B07H5B9KMP/ref=sr_1_1?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-1
VOLTZ Hydraulic Wire Terminal Crimper YQK400 Range16-400mm2 Pressure 20Tons Hydraulic Crimping Tool for Copper Terminal YQK-400 Hydraulic Pliers …,"₹8,690",4.5 out of 5 stars,2,https://www.amazon.in//VOLTZ-Hydraulic-Terminal-Range16-400mm2-Pressure/dp/B08DY3M5TP/ref=sr_1_2?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-2
"Calter 16 Ton Manual Hydraulic Cable Crimping Plier Tool Kit (10-300 mm, 2 11 Die)","₹3,699",4.3 out of 5 stars,15,https://www.amazon.in//Calter-Manual-Hydraulic-Crimping-10-300/dp/B07RZCNLMV/ref=sr_1_3?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-3
"uptodateproducts Quick Hydraulic Crimper Cable Plier Crimping Tool Kit 16-300mm 11 Die, 16 Ton","₹3,700",4.1 out of 5 stars,43,https://www.amazon.in//uptodateproducts-Hydraulic-Crimper-Crimping-300mm/dp/B079P43XTW/ref=sr_1_4?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-4
"tools.shop 16 Ton Quick Hydraulic Crimper Cable Plier Tool Kit, 16-300mm/11 Die","₹3,500",3.5 out of 5 stars,7,https://www.amazon.in//tools-shop-Quick-Hydraulic-Crimper-16-300mm/dp/B079RLW4ZR/ref=sr_1_5?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-5
"VOLTZ YQK 300 (12 DIES) 10-300mm2 Hydraulic Wire Terminal Crimper Pressure 16Tons Hydraulic Crimping Tool for Copper,Aluminium Terminal YQK-300 Hydraulic Pliers","₹4,090",,,https://www.amazon.in//VOLTZ-10-300mm2-Hydraulic-Terminal-Aluminium/dp/B08HQRPCL3/ref=sr_1_6?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-6
16 Ton Hydraulic Wire Crimper Crimping Tool 11 Dies Battery Cable Lug Terminal,"₹3,975",4.1 out of 5 stars,49,https://www.amazon.in//Hydraulic-Crimper-Crimping-Battery-Terminal/dp/B00QLQCYEW/ref=sr_1_7?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-7
"VOLTZ Hydraulic Wire Terminal Crimper Range16-300mm2 Pressure 16Tons Hydraulic Crimping Tool for Copper,Aluminium Terminal YQK-300 Hydraulic Pliers","₹3,590",,,https://www.amazon.in//VOLTZ-Hydraulic-Terminal-Range16-300mm2-Aluminium/dp/B08MV1NYL6/ref=sr_1_8?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-8
"LEYDEN® YQK-300 Hydraulic Crimping Tool 16-300mm2 for Copper, Aluminum Terminal Pliers YQK-300 Hydraulic New Manual Hydraulic Crimper 1 Piece Manual Hydraulic Crimper","₹3,699",,,https://www.amazon.in//YQK-300-Hydraulic-Crimping-16-300mm2-Aluminum/dp/B08KRJVP6R/ref=sr_1_9?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-9
"XTRA 400-HD Hydraulic Cable Crimping Plier Tool Kit (10-400 mm, 14 Sets)","₹7,950",,,https://www.amazon.in//XTRA-400-HD-Hydraulic-Crimping-10-400/dp/B08KQ7P7GK/ref=sr_1_10?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-10
"Tools Centre™ Hydraulic Crimping Tool Plier, Hydraulic Compression Tool Pressure 16-300mm 11 Die, 16 Ton","₹4,200",3.3 out of 5 stars,3,https://www.amazon.in//ToolsCentre-Hydraulic-Crimping-Plier-16-300/dp/B07NVCT4C2/ref=sr_1_11?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-11
Tools-4-All 16 Ton Quick Hydraulic Crimping Tools Kit (10-300 sq mm) -12 Set of Dies,"₹4,850",4.2 out of 5 stars,4,https://www.amazon.in//Tools-4-All-Quick-Hydraulic-Crimping-10-300/dp/B07FLYP62J/ref=sr_1_12?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-12
