Description,Price,Rating,ReviewCount,URL
"Groz 2 Ton Hydraulic Bottle Jack with Load Limiting Device| Ideal for use with Passenger Cars, Taxi's etc.| Portable| Leak-proof| Forged Base| Factory Tested| Lifting Range: 175-339 mm| JACK/BT/2W","₹1,420",3.7 out of 5 stars,20,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09266842QT1TUWZXS5A0&url=%2FGROZ-Hydraulic-Bottle-Passenger-Taxis%2Fdp%2FB07VNSNQ5G%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dhydraulic%2Bpress%26qid%3D1606289002%26sr%3D8-1-spons%26psc%3D1&qualifier=1606289002&id=8355624478986681&widgetName=sp_atf
CALTER Hand Hydraulic Tool,"₹3,700",3.2 out of 5 stars,6,https://www.amazon.in//CALTER-Hand-Hydraulic-Tool/dp/B06X42P541/ref=sr_1_6?dchild=1&keywords=hydraulic+press&qid=1606289002&sr=8-6
HYDRAULIC PRESS_,"₹1,599",,,https://www.amazon.in//Generic-HYDRAULIC-PRESS_/dp/B08KLRMGGZ/ref=sr_1_7?dchild=1&keywords=hydraulic+press&qid=1606289002&sr=8-7
VANDEC Press Hydraulic Capacity 20 TON (V61120),"₹32,000",,,https://www.amazon.in//PRESS-HYDRAULIC-CAPACITY-TON-V61120/dp/B074THQ6RF/ref=sr_1_9?dchild=1&keywords=hydraulic+press&qid=1606289002&sr=8-9
"VANDEC V61106 Press Hydraulic, Capacity 6 Ton","₹13,800",,,https://www.amazon.in//PRESS-HYDRAULIC-CAPACITY-TON-V61106/dp/B074TG11CF/ref=sr_1_10?dchild=1&keywords=hydraulic+press&qid=1606289002&sr=8-10
Hydraulic Press,₹799,,,https://www.amazon.in//Generic-Hydraulic-Press/dp/B07DSZGMMS/ref=sr_1_11?dchild=1&keywords=hydraulic+press&qid=1606289002&sr=8-11
VANDEC Hydraulic Pipe Bender Model Upto 2 Inches,"₹10,200",4.4 out of 5 stars,2,https://www.amazon.in//VANDEC-Hydraulic-Bender-Model-Inches/dp/B01LYUTV35/ref=sr_1_12?dchild=1&keywords=hydraulic+press&qid=1606289002&sr=8-12
VANDEC Hydraulic Press 4 Ton (Model VBPH-4/120),"₹22,100",,,https://www.amazon.in//VANDEC-Hydraulic-Press-VBPH-4-120/dp/B01M05SNG6/ref=sr_1_13?dchild=1&keywords=hydraulic+press&qid=1606289002&sr=8-13
Biochem Hydraulic Press for laboratories,₹899,,,https://www.amazon.in//Biochem-Hydraulic-Press-for-laboratories/dp/B088FNF2DC/ref=sr_1_15?dchild=1&keywords=hydraulic+press&qid=1606289002&sr=8-15
Yashvin Super Premium Heavy Car Hydraulic Jack for All Cars (Universal) 5000 kg,"₹1,078",,,https://www.amazon.in//Super-Premium-Heavy-Hydraulic-Universal/dp/B07N1BWTWS/ref=sr_1_16?dchild=1&keywords=hydraulic+press&qid=1606289002&sr=8-16
