Description,Price,Rating,ReviewCount,URL
"FEDUS Cable Tester RJ45 Tool kit Crimping Tool 100 pcs RJ45 CAT5 Connectors, Network Wire Stripper",₹649,4.1 out of 5 stars,19,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02604201LC0HFYB1BFDA&url=%2FFEDUS-Crimping-Crimper-Connectors-Stripper%2Fdp%2FB085RZQWSH%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dcrimping%2Btool%26qid%3D1605692178%26sr%3D8-1-spons%26psc%3D1&qualifier=1605692178&id=403667422559482&widgetName=sp_atf
"Techblaze 5 in 1 Automatic Wire Stripper and Crimper 8 Inch Self-Adjusting Wire Stripping Tool 24-10 AW/ 43-3 Gauge/ 0.2-6 mm Wire Cutter Crimper Multi Pliers, w/Cutting, Crimping, Stripping Function",₹899,,,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A10060502LSRUE88U0VFC&url=%2FTechblaze-Automatic-Stripper-Self-Adjusting-Stripping%2Fdp%2FB08MV9K9ZC%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dcrimping%2Btool%26qid%3D1605692178%26sr%3D8-2-spons%26psc%3D1&qualifier=1605692178&id=403667422559482&widgetName=sp_atf
"Inditrust 16 Ton Hydraulic Crimping Tool 11 dies 16-300 mm2 for Copper, Aluminum Terminal Pliers YQK-300 manual crimper","₹3,999",3.8 out of 5 stars,45,https://www.amazon.in//Inditrust-Hydraulic-Crimping-Aluminum-Terminal/dp/B07H5B9KMP/ref=sr_1_3?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-3
"SHOPEE BRANDED Rj45 Rj11 Crimping Tool, KD-1 Professional Punch Down Tool, Network Lan Cable Tester, Ethernet Color Coding & 20 Pcs RJ45 Connectors Combo Set",₹649,3.9 out of 5 stars,152,https://www.amazon.in//SHOPEE-Crimping-Professional-Ethernet-Connectors/dp/B07J2ND426/ref=sr_1_4?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-4
JAINSONS 0.5 to 16 MM² Crimping Hand Tool SAMRAT 16,₹596,4.1 out of 5 stars,26,https://www.amazon.in//JAINSONS-16-CRIMPING-HAND-SAMRAT/dp/B00R4R9VUW/ref=sr_1_5?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-5
"rts Dual Modular Network RJ45 RJ11 RJ12 Crimping Tool, Network Cable Cutting Stripping Crimper/Wire Stripper/Wire Cutter, for RJ45, RJ12 RJ11 8P/6P/4P /CAT5/CAT5e/CAT6/CAT6A All in One Black and Blue",₹679,4.5 out of 5 stars,76,https://www.amazon.in//rts-Dual-Modular-Crimping-Tool/dp/B085TJZZX5/ref=sr_1_6?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-6
"Lapmate 3 In 1 Modular Crimping Tool, Rj45, Rj11 Cat5E/Cat6 Lan Cutter with Cable Cutter",₹300,3.8 out of 5 stars,437,https://www.amazon.in//Lapmate-Modular-Crimping-Cat5E-Cutter/dp/B00VYPTEXE/ref=sr_1_7?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-7
STANLEY 84-223 Crimping Plier -230mm/9'',₹310,3.9 out of 5 stars,327,https://www.amazon.in//Stanley-84223-229mm-Crimping-Pliers/dp/B00ICIKHC8/ref=sr_1_8?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-8
GENERIC HSC8 6-4A AWG23-10 Wire Stripper Self Adjusting Crimping Plier Ratcheting Ferrule Crimper Tool,₹810,4.4 out of 5 stars,64,https://www.amazon.in//AWG23-10-Stripper-Adjusting-Crimping-Ratcheting/dp/B01LYZRAEW/ref=sr_1_9?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-9
River Fox KD1 Punch Down Tool + RJ11 RJ45 Crimping Tool + Wire Stripper & Cutter + 50PC RJ45 Connector (Colour as per Availability),₹499,4.2 out of 5 stars,39,https://www.amazon.in//Crimping-Stripper-Cutter-Connector-Availability/dp/B07VTR2P37/ref=sr_1_10?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-10
"FEDUS Cable Tester RJ45 Tool kit Crimping Tool 100 pcs RJ45 CAT5 Connectors, Network Wire Stripper",₹649,4.1 out of 5 stars,19,https://www.amazon.in//FEDUS-Crimping-Crimper-Connectors-Stripper/dp/B085RZQWSH/ref=sr_1_11?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-11
"Inditrust Rj45 Rj11 Crimping, Multitec cutter, KD-1 Professional Punch Down Tool, Network Lan Cable Tester, 9V battery and 25 Pcs Connectors",₹750,3.8 out of 5 stars,274,https://www.amazon.in//Inditrust-Crimping-Multitec-Professional-Connectors/dp/B079YW3YX3/ref=sr_1_12?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-12
"EzLife 8-Inch Self-Adjusting Automatic Cable Cutter Crimper, 5 in 1 Multipurpose Tool Wire Stripping Cutting Pliers, 10-24 AWG (0.2~6.0mm²) (Yellow)",₹595,4.2 out of 5 stars,477,https://www.amazon.in//EZ-Life-Self-Adjusting-Automatic-Multi-Tool/dp/B07DWDVX3C/ref=sr_1_13?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-13
"Calter 16 Ton Manual Hydraulic Cable Crimping Plier Tool Kit (10-300 mm, 2 11 Die)","₹4,199",4.3 out of 5 stars,15,https://www.amazon.in//Calter-Manual-Hydraulic-Crimping-10-300/dp/B07RZCNLMV/ref=sr_1_14?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-14
Inditrust Terminal Crimping Pliers 202B of Crimping Terminal Pliers for The Suppression of Automotive Computer Connectors,₹499,3.3 out of 5 stars,12,https://www.amazon.in//Inditrust-Terminal-Suppression-Automotive-Connectors/dp/B082P4LD17/ref=sr_1_15?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-15
"Hindustan Eletricals calter Metal Crimping Tools (Standard Size, Black)",₹769,4.2 out of 5 stars,29,https://www.amazon.in//Hindustan-Eletricals-CMNI105016-CALTER-Crimping/dp/B01ND447WL/ref=sr_1_16?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-16
Hindustan Eletricals Metal Calter Hand Crimping Tools (Red Black),₹500,4.2 out of 5 stars,40,https://www.amazon.in//CALTER-Hand-Crimping-Tools-CMNI-105006/dp/B01N19HB8T/ref=sr_1_17?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-17
Saubhagya Global Multi Functional Snake Bit Drill Extender With 6 Bonus Bits Screwdriver,₹499,,,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07619212NRSG2II4AOCC&url=%2FSaubhagya-Global-Functional-Extender-Screwdriver%2Fdp%2FB08LBVBQYX%2Fref%3Dsr_1_19_sspa%3Fdchild%3D1%26keywords%3Dcrimping%2Btool%26qid%3D1605692178%26sr%3D8-19-spons%26psc%3D1&qualifier=1605692178&id=403667422559482&widgetName=sp_mtf
Saubhagya Global 21 in 1 Screwdriver Assorted Tools Set (T-Handle Socket + 9 Sockets + Screwdriver Bits),₹349,,,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05332162PWWOJYMKCYHF&url=%2FSaubhagya-Global-Screwdriver-Assorted-T-Handle%2Fdp%2FB08LBR4JQ4%2Fref%3Dsr_1_20_sspa%3Fdchild%3D1%26keywords%3Dcrimping%2Btool%26qid%3D1605692178%26sr%3D8-20-spons%26psc%3D1&qualifier=1605692178&id=403667422559482&widgetName=sp_mtf
Shining Shop Furniture Shifting Tool/Heavy Furniture Lifter and Mover Tool Set Easy Furniture Shifting Tool Set/Furniture Lifter Multicolor,"₹1,698",2.9 out of 5 stars,24,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08442839FKOYSKJ36EB&url=%2FShining-Shop-Furniture-Shifting-Multicolor%2Fdp%2FB08BX3ZLXN%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dcrimping%2Btool%26qid%3D1605692178%26sr%3D8-21-spons%26psc%3D1&qualifier=1605692178&id=403667422559482&widgetName=sp_mtf
"Saubhagya Global 10 Pcs Socket Wrench Spanner Set, Repair Tool Box, Precision Sleeve Wrench Combination Hand Tool Socket Set",₹599,4.0 out of 5 stars,1,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0996445SN7LQPNT0979&url=%2FSaubhagya-Global-Spanner-Precision-Combination%2Fdp%2FB08JWQMX56%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dcrimping%2Btool%26qid%3D1605692178%26sr%3D8-22-spons%26psc%3D1&qualifier=1605692178&id=403667422559482&widgetName=sp_mtf
ClassyTek Crimping Tool for RJ45 RJ11 Network LAN Cable Crimper Pliers,₹335,3.9 out of 5 stars,106,https://www.amazon.in//Classytek-Network-Cable-Crimper-Pliers/dp/B00J20I812/ref=sr_1_23?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-23
"uptodateproducts Quick Hydraulic Crimper Cable Plier Crimping Tool Kit 16-300mm 11 Die, 16 Ton","₹3,700",4.1 out of 5 stars,42,https://www.amazon.in//uptodateproducts-Hydraulic-Crimper-Crimping-300mm/dp/B079P43XTW/ref=sr_1_24?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-24
"Pruthvik Dual Modular Network and Telecom RJ45 RJ11 RJ12 Crimping Tool, Black and Blue",₹648,4.9 out of 5 stars,17,https://www.amazon.in//Pruthvik-Modular-Network-Crimping-Tool/dp/B08CRMW8M7/ref=sr_1_25?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-25
"Famous Quality® 3 in 1 Modular Crimping Tool, RJ45, RJ11 CAT5e/CAT6 LAN Cutter with Cable Cutter (Multi-Colour)",₹439,3.5 out of 5 stars,2,https://www.amazon.in//Famous-Quality%C2%AE-LAN-Cutter-Multi-Colour/dp/B07C6HZ2VL/ref=sr_1_26?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-26
CAPSLOCK KD1 Punch Down Tool + RJ11 RJ45 Crimping Tool + 50PC RJ45 Connector (Colour as per Availability),₹469,3.9 out of 5 stars,18,https://www.amazon.in//CAPSLOCK-Crimping-Connector-Colour-Availability/dp/B083Y3LG1N/ref=sr_1_27?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-27
"Proskit 6PK-301H, Insulated Terminal Crimping Tool (220mm) (Pack of 1)","₹3,199",5.0 out of 5 stars,1,https://www.amazon.in//Proskit-6PK-301H-Insulated-Terminal-Crimping/dp/B010GKCPSS/ref=sr_1_28?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-28
D- Link Modular Plug Crimper,₹700,4.0 out of 5 stars,17,https://www.amazon.in//D-Link-Modular-Plug-Crimper/dp/B07N7CQ9CG/ref=sr_1_29?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-29
JAINSONS 0.5 to 6 MM² Crimping Hand Tool VIRAT 6,₹594.90,3.9 out of 5 stars,14,https://www.amazon.in//JAINSONS-CRIMPING-HAND-TOOL-VIRAT/dp/B00R4R9XX2/ref=sr_1_30?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-30
PagKis Stainless Steel Dish Cable TV Compression Crimping Tool and 10 F Connectors for RG6 Cable Crimper,₹599,4.0 out of 5 stars,71,https://www.amazon.in//PagKis-Compression-Crimping-Connectors-Crimper/dp/B07PQ2ZTX6/ref=sr_1_33?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-33
Zysk Glink 3 in 1 Modular Crimping Tool,₹299,5.0 out of 5 stars,2,https://www.amazon.in//Zysk-Glink-Modular-Crimping-Tool/dp/B07TJ7HCPQ/ref=sr_1_34?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-34
"Harden Professional 8"" Multi-Function Automatic Wire Stripper Plier- Cr-Mo Steel Cutting Blade with Stripping Length Adjustment Module, Zinc-Alloy Body - Stripping Crimping and Cutting Tool 660613",₹695,4.1 out of 5 stars,51,https://www.amazon.in//Harden-Professional-Multi-Function-Adjustment-Zinc-Alloy/dp/B07Y68C5XS/ref=sr_1_35?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-35
"FEDUS Rj45 Rj11 Crimping, Multitec Cutter, Network LAN Cable Tester, KD-1 Professional Punch Down Tool, Network LAN Cable Tester and 25 Pcs Connectors",₹749,3.9 out of 5 stars,10,https://www.amazon.in//FEDUS-Crimping-Multitec-Professional-Connectors/dp/B085T3B5C3/ref=sr_1_36?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-36
Jakemy 185mm Professional Network Phone 6P 8P Wire Cable Crimping Tool JM-CT4-1,₹790,5.0 out of 5 stars,1,https://www.amazon.in//Jakemy-Professional-Network-Crimping-JM-CT4-1/dp/B085BQWL29/ref=sr_1_37?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-37
"Tools Centre™ Hydraulic Crimping Tool Plier, Hydraulic Compression Tool Pressure.","₹4,121",,New options from,https://www.amazon.in//ToolsCentre-Hydraulic-Crimping-Compression-Pressure/dp/B07NVCHFQS/ref=sr_1_38?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-38
River Fox KD1 Punch Down Tool + RJ11 RJ45 Crimping Tool + 50PC RJ45 Connector (Colour as per Availability),₹475,3.1 out of 5 stars,11,https://www.amazon.in//River-Crimping-Connector-Colour-Availability/dp/B07WG187F9/ref=sr_1_39?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-39
A&S @ Only Wire Stripper Self Adjusting Crimping Plier Ratcheting Ferrule Crimper Tool,₹895,5.0 out of 5 stars,1,https://www.amazon.in//Stripper-Adjusting-Crimping-Ratcheting-Ferrule/dp/B081VKBKTQ/ref=sr_1_40?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-40
PagKis Professional Waterproof Connector Compression Crimping Tool for RG6 5C RG59 4C Coax Cable,₹499,4.5 out of 5 stars,15,https://www.amazon.in//PagKis-Professional-Waterproof-Connector-Compression/dp/B07CKNSBYM/ref=sr_1_41?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-41
"FEDUS KD-1 Professional Punch Down Tool,Rj45 Rj11 Crimping Tool,Network LAN Cable Tester, Ethernet Color Coding & 25 Pcs RJ45 Connectors Combo Set",₹749,3.5 out of 5 stars,8,https://www.amazon.in//FEDUS-Professional-Crimping-Ethernet-Connectors/dp/B085T65W92/ref=sr_1_42?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-42
Generic EBIVAEB52955 Wire Stripping Tool 8 Inch Self-Adjusting Cable Stripper Industry Stranded Wire Cutting,₹568,4.2 out of 5 stars,271,https://www.amazon.in//Generic-Stripping-Self-Adjusting-Stripper-Industry/dp/B072DVNP5W/ref=sr_1_43?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-43
River Fox HT-3141 Punch Tool Crimping tool Krone Tool Impact Punchdown Tool IO insertion Tool Ratchet Type for 110 krone type Amp Modules Telephone Krone Tool Kronning Telephone Wire Junction Box,₹350,4.5 out of 5 stars,2,https://www.amazon.in//Crimping-Punchdown-insertion-Telephone-Kronning/dp/B07VG9KNDK/ref=sr_1_44?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-44
Segolike Professional Heavy Duty MC4 Solar PV Cable Stripper Cutter Wire Stripping Tool Cable Crimper Plier Red,"₹1,400",4.7 out of 5 stars,4,https://www.amazon.in//Segolike-Professional-Stripper-Stripping-Crimper/dp/B07169FLZH/ref=sr_1_45?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-45
Professional Waterproof Metal Connector Compression Crimping Tool Crimper for RG6 (5C) RG59 (4C) Coax Cable Connect Connecting Tools (Red and Silver),₹358,4.1 out of 5 stars,16,https://www.amazon.in//Professional-Waterproof-Connector-Compression-Connecting/dp/B07L9JM2W4/ref=sr_1_46?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-46
"JAINSONS 0.5-6 mm² Crimping Hand Tool Chakra (Standard Size, Multicolour)","₹1,450",5.0 out of 5 stars,1,https://www.amazon.in//JAINSONS-CRIMPING-HAND-TOOL-CHAKRA/dp/B01M61SXJC/ref=sr_1_47?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-47
"FEDUS Rj45 Rj11 Crimping, Multitec Cutter, KD-1 Professional Punch Down Tool, Network LAN Cable Tester, 9V Battery and 25 Pcs Connectors",₹699,3.5 out of 5 stars,10,https://www.amazon.in//Crimping-Multitec-Professional-Network-Connectors/dp/B083S8NJ5D/ref=sr_1_49?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-49
JAINSONS Crimping Tools Hand,"₹1,290",4.8 out of 5 stars,9,https://www.amazon.in//JAINSONS-Vikrant-50-Crimping-Tools/dp/B00R4QIAUA/ref=sr_1_50?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-50
"SHOPEE BRANDED Rj45 Rj11 Crimping, Multitec cutter, KD-1 Professional Punch Down Tool, Network Lan Cable Tester, 9V battery and 25 Pcs Connectors",₹699,3.6 out of 5 stars,77,https://www.amazon.in//SHOPEE-Crimping-Multitec-Professional-Connectors/dp/B07GTP87CW/ref=sr_1_51?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-51
"Inditrust Rj45 Rj11 Crimping Tool, KD-1 Professional Punch Down Tool, 9V Battery, Network Lan Cable Tester, Ethernet Color Coding & 25 Pcs RJ45 Connectors Combo Set",₹699,3.5 out of 5 stars,40,https://www.amazon.in//Inditrust-Crimping-Professional-Ethernet-Connectors/dp/B07QPVT9WY/ref=sr_1_52?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-52
Inditrust KD1 Punch Down Tool + RJ11 RJ45 Crimping Tool + Wire Stripper & Cutter + 50PC RJ45 Connector,₹599,3.5 out of 5 stars,2,https://www.amazon.in//Inditrust-Riveter-Double-Color-Rivet/dp/B07QPVTLZV/ref=sr_1_53?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-53
rts RJ45 Cable Crimping Tool 3 in 1 Modular Crimping Tool for RJ45 RJ12 RJ11 UTP CAT5 LAN Cutter 4P4C 4P2C,₹348,4.5 out of 5 stars,21,https://www.amazon.in//rts-Modular-Crimping-Tool-Cutter/dp/B06XBYTQX3/ref=sr_1_54?dchild=1&keywords=crimping+tool&qid=1605692178&sr=8-54
"Shining Shop Furniture Shifting Tool/Furniture Lifter, Easy Furniture Shifting Tool Multicoloured","₹1,788",2.7 out of 5 stars,5,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0061106QR11R8H1OXWW&url=%2FShining-Shop-Furniture-Shifting-Multicoloured%2Fdp%2FB08GC75XDL%2Fref%3Dsr_1_55_sspa%3Fdchild%3D1%26keywords%3Dcrimping%2Btool%26qid%3D1605692178%26sr%3D8-55-spons%26psc%3D1&qualifier=1605692178&id=403667422559482&widgetName=sp_btf
Fujikura Cleaver CT-08,"₹19,900",4.5 out of 5 stars,3,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0345076F58UZAQIIF11&url=%2FFujikura-Cleaver-CT-08%2Fdp%2FB07F889L3H%2Fref%3Dsr_1_56_sspa%3Fdchild%3D1%26keywords%3Dcrimping%2Btool%26qid%3D1605692178%26sr%3D8-56-spons%26psc%3D1&qualifier=1605692178&id=403667422559482&widgetName=sp_btf
Inditrust 17 Inch Hand Rivet Gun Riveting Gun Manual Pull Rivet Pliers with 30 rivets,₹999,5.0 out of 5 stars,3,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0036551PAXEVTK6H3QU&url=%2FInditrust-Riveting-Manual-Pliers-rivets%2Fdp%2FB08478VK8F%2Fref%3Dsr_1_57_sspa%3Fdchild%3D1%26keywords%3Dcrimping%2Btool%26qid%3D1605692178%26sr%3D8-57-spons%26psc%3D1&qualifier=1605692178&id=403667422559482&widgetName=sp_btf
"Saubhagya Global Stainless Steel Multifunction 18 in 1 Hand Tac Tool, Multi Utility Tool Kit, Portable Multi Utility Tool Set",₹699,,,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A00027721IOQDU4CJ1KS7&url=%2FSaubhagya-Global-Stainless-Multifunction-Portable%2Fdp%2FB08KVWSNJJ%2Fref%3Dsr_1_58_sspa%3Fdchild%3D1%26keywords%3Dcrimping%2Btool%26qid%3D1605692178%26sr%3D8-58-spons%26psc%3D1&qualifier=1605692178&id=403667422559482&widgetName=sp_btf
"DEVICE OF URBAN INFOTECH Automatic 5 in 1 Wire Stripper & Crimper, 24-10 AW/ 34-3 Gauge/ 0.2-6 mm 8 Inch Self-Adjusting Cutter Crimper Multi Pliers, with Cutting, Crimping, Stripping Function",₹849,,,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A02364172QXGM6PP1VF75&url=%2FDEVICE-URBAN-INFOTECH-Automatic-Self-Adjusting%2Fdp%2FB08LY9YTL6%2Fref%3Dsr_1_59_sspa%3Fdchild%3D1%26keywords%3Dcrimping%2Btool%26qid%3D1605692178%26sr%3D8-59-spons%26psc%3D1&qualifier=1605692178&id=403667422559482&widgetName=sp_btf
