Description,Price,Rating,ReviewCount,URL
"GIOR FITTINGS Steel Hydraulics Gas Spring Stay Strut Pneumatic Lift Support Cabinet Hinges (Silver, 50 N) - Pack of 2 pcs",₹280,3.6 out of 5 stars,67,https://www.amazon.in//GIOR-FITTINGS-HYDRAULICS-PNEUMATIC-SUPPORT/dp/B0749KBLC2/ref=sr_1_1?dchild=1&keywords=hydraulic+cylinder&qid=1605689041&sr=8-1
Generic Sc32X50 32 Mm Bore 50 Mm Stroke Double Acting Pneumatic Air Cylinder,"₹1,059",,options from,https://www.amazon.in//Generic-Sc32X50-Stroke-Pneumatic-Cylinder/dp/B07FTNPHJX/ref=sr_1_2?dchild=1&keywords=hydraulic+cylinder&qid=1605689041&sr=8-2
VOLTZ Hydraulic Cylinder Jack 10T Ultra-thin Hydraulic Lifting Cylinder Ram Stroke 10mm for Bridges/Building/Machinery Industries with Hand Pump,"₹12,990",,,https://www.amazon.in//VOLTZ-Hydraulic-Ultra-thin-Machinery-Industries/dp/B08FGWCMCZ/ref=sr_1_3?dchild=1&keywords=hydraulic+cylinder&qid=1605689041&sr=8-3
VOLTZ tools 10T 2Inch Stroke Hydraulic Cylinder Jack Solid With Hand pump Single Acting Hydraulic Ram Cylinder 50mm Hydraulic Lifting Cylinders (10T 2Inch),"₹11,990",,,https://www.amazon.in//VOLTZ-Hydraulic-Cylinder-Lifting-Cylinders/dp/B08FJD75XK/ref=sr_1_4?dchild=1&keywords=hydraulic+cylinder&qid=1605689041&sr=8-4
JTB Hydraulic Aftermarket BRAKE MASTER CYLINDER 2-HOLE JCB 40/302795,₹907,,,https://www.amazon.in//JTB-Hydraulic-Aftermarket-MASTER-CYLINDER/dp/B087RGF8K7/ref=sr_1_5?dchild=1&keywords=hydraulic+cylinder&qid=1605689041&sr=8-5
VOLTZ tools 30T 2Inch Stroke Hydraulic Cylinder Jack Solid With Hand pump Single Acting Hydraulic Ram Cylinder 50mm Hydraulic Lifting Cylinders (30T 2Inch),"₹22,990",,,https://www.amazon.in//VOLTZ-Hydraulic-Cylinder-Lifting-Cylinders/dp/B08FJDN6LG/ref=sr_1_6?dchild=1&keywords=hydraulic+cylinder&qid=1605689041&sr=8-6
RAJ CHAIR Bar Chair Hydraulic Gas Lift Cylinder Replacement for bar Chairs Spare Part of Chair Chrome Big Lenght 18 inch and Extend = 25 inch,₹899,5.0 out of 5 stars,2,https://www.amazon.in//RAJ-CHAIR-Cylinder-Chairs-Chrome/dp/B082SY33YS/ref=sr_1_8?dchild=1&keywords=hydraulic+cylinder&qid=1605689041&sr=8-8
Office Chair Hydraulic Gas Lift Cylinder Replacement - Universal Size - 120mm - Suites All Types of Office High Back and Low Back Chairs,₹399,4.2 out of 5 stars,116,https://www.amazon.in//Office-Chair-Hydraulic-Cylinder-Replacement/dp/B07GJLHL62/ref=sr_1_9?dchild=1&keywords=hydraulic+cylinder&qid=1605689041&sr=8-9
"SEAT CHACHA Office Chair Gas Lift Cylinder Replacement - Universal Size, Heavy Duty Hydraulic And Pneumatic Shock, Fits Most Executive Chairs (Color Black)",₹550,4.1 out of 5 stars,812,https://www.amazon.in//Office-Chair-Lift-Cylinder-Replacement/dp/B01D4YBFBQ/ref=sr_1_10?dchild=1&keywords=hydraulic+cylinder&qid=1605689041&sr=8-10
Nice Chair Parts Hydraulic/Chair Lifter/Chair Parts Suitable for All Office Chairs (120 mm) (Black),₹499,4.5 out of 5 stars,9,https://www.amazon.in//Nice-Chair-Hydraulic-Lifter-Suitable/dp/B08CVP396Z/ref=sr_1_11?dchild=1&keywords=hydraulic+cylinder&qid=1605689041&sr=8-11
